flight_id,date_key,airline_key,origin_key,dest_key,op_carrier_fl_num,crs_dep_time,dep_time,dep_delay,crs_arr_time,arr_time,arr_delay,taxi_out,taxi_in,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,cancelled,diverted,cancellation_code
8211,20240610,12,250,216,5481.0,1745,1743.0,-2.0,1850,1842.0,-8.0,9.0,22.0,125.0,119.0,88.0,531.0,0,0,0,0,0,0,0,
8212,20240125,5,122,90,2020.0,1813,1911.0,58.0,1929,2022.0,53.0,30.0,7.0,76.0,71.0,34.0,120.0,0,0,0,0,53,0,0,
8213,20240130,13,229,143,2647.0,1632,1622.0,-10.0,1853,1823.0,-30.0,9.0,11.0,201.0,181.0,161.0,1117.0,0,0,0,0,0,0,0,
8214,20241020,15,90,155,5860.0,1005,955.0,-10.0,1200,1145.0,-15.0,20.0,11.0,115.0,110.0,79.0,509.0,0,0,0,0,0,0,0,
8215,20240526,11,38,79,5259.0,1542,1601.0,19.0,1830,1906.0,36.0,17.0,7.0,108.0,125.0,101.0,562.0,0,0,17,0,19,0,0,
8216,20240312,14,82,225,205.0,800,756.0,-4.0,905,912.0,7.0,39.0,9.0,125.0,136.0,88.0,602.0,0,0,0,0,0,0,0,
8217,20241009,12,297,165,6231.0,710,709.0,-1.0,854,838.0,-16.0,10.0,8.0,104.0,89.0,71.0,451.0,0,0,0,0,0,0,0,
8218,20240303,5,174,90,2208.0,900,856.0,-4.0,1113,1046.0,-27.0,18.0,14.0,133.0,110.0,78.0,502.0,0,0,0,0,0,0,0,
8219,20240326,2,155,194,2603.0,1729,1723.0,-6.0,2044,2025.0,-19.0,19.0,9.0,195.0,182.0,154.0,1089.0,0,0,0,0,0,0,0,
8220,20241020,2,206,64,607.0,1835,1834.0,-1.0,2132,2129.0,-3.0,14.0,15.0,117.0,115.0,86.0,651.0,0,0,0,0,0,0,0,
8221,20240820,11,64,21,5027.0,2240,2242.0,2.0,2343,2346.0,3.0,32.0,4.0,63.0,64.0,28.0,91.0,0,0,0,0,0,0,0,
8222,20240930,5,165,18,528.0,1115,1146.0,31.0,1829,1850.0,21.0,13.0,14.0,254.0,244.0,217.0,1947.0,10,0,0,0,11,0,0,
8223,20240203,6,222,163,1106.0,1234,1222.0,-12.0,1451,1427.0,-24.0,16.0,7.0,137.0,125.0,102.0,763.0,0,0,0,0,0,0,0,
8224,20240123,14,175,77,801.0,1450,1443.0,-7.0,1940,1932.0,-8.0,13.0,4.0,170.0,169.0,152.0,1232.0,0,0,0,0,0,0,0,
8225,20240112,2,93,83,2685.0,1140,1134.0,-6.0,1449,1431.0,-18.0,11.0,10.0,129.0,117.0,96.0,721.0,0,0,0,0,0,0,0,
